word,kelime
wait,Beklemek
stop,durmak
call,Arama
after,sonrasında
won,kazanmak
talk,konuşmak
away,uzak
than,hariç
thought,düşünce
home,Ev
night,gece
put,koymak
great,Harika
those,onlar
last,son
better,daha iyi
everything,her şey
told,söylenmiş
mr.,Bay
new,yeni
things,şeyler
always,Her zaman
keep,kale
long,uzun
years,yıllar
leave,ayrılmak
does,yapmak
money,para
around,etrafında
doesn,yapmaz
name,isim
place,yer
ever,durmadan
feel,hissetmek
guys,Çocuklar
father,baba
guy,adam
made,yapılmış
old,eskimiş
isn,öyle
which,Hangi
big,büyük
lot,pay
done,Tamamlandı
hello,Merhaba
nice,Güzel
believe,inanmak
girl,kız
someone,birisi
fine,iyi
thanks,teşekkürler
wanted,aranan
kind,tür
coming,gelen
house,ev
every,Her
ok,Tamam
through,başından sonuna kadar
being,yapı
course,kurs
stay,kalmak
left,sol
dad,baba
enough,yeterli
happened,olmuş
came,gelmek
may,mayıs
mother,anne
wrong,yanlış
world,dünya
bad,kötü
might,belki
three,üç
today,Bugün
listen,Dinlemek
another,bir diğer
understand,anlamak
hear,duymak
remember,Unutma
ask,sormak
own,sahip olmak
same,Aynı
show,göstermek
else,başka
kill,öldürmek
talking,konuşuyor
found,kurmak
next,Sonraki
getting,edinme
care,bakım
car,araba
looking,bakıyor
son,oğul
try,denemek
woman,kadın
went,gitmiş
hi,MERHABA
dead,ölü
many,birçok
mind,akıl
wasn,öyleydi
friend,arkadaş
best,en iyi
mom,anne
hell,cehennem
morning,Sabah
trying,denemek
boy,erkek çocuk
together,birlikte
yourself,kendin
job,iş
saw,testere
family,aile
real,gerçek
without,olmadan
baby,Bebek
room,oda
wouldn,olur
already,çoktan
move,taşınmak
most,en
seen,görülen
live,canlı
miss,kayıp
actually,Aslında
huh,Ha
shit,bok
both,ikisi birden
heard,duyulmuş
once,bir kere
ready,hazır
head,KAFA
called,isminde
used,kullanılmış
idea,fikir
knew,biliyordum
hold,tutmak
happy,mutlu
door,kapı
such,çok
fuck,Kahretsin
brother,Erkek kardeş
also,Ayrıca
pretty,tatlı
bit,biraz
took,alınmış
haven,sığınak
yet,henüz
men,erkekler
whole,tüm
start,başlangıç
use,kullanmak
while,sırasında
since,o zamandan beri
wife,eş
days,günler
guess,tahmin etmek
tomorrow,Yarın
matter,konu
meet,tanışmak
bring,getirmek
tonight,bu akşam
everyone,herkes
run,koşmak
wanna,istiyorum
hard,zor
ah,Ah
alone,yalnız
myself,kendim
school,okul
gone,gitmiş
um,hım
end,son
saying,söyleyerek
phone,telefon
play,oynamak
looks,görünüyor
couldn,yapamadım
fucking,kahrolası
problem,sorun
few,bir kaç
friends,Arkadaşlar
gotta,lazım
ago,evvel
open,açık
anyone,herhangi biri
killed,öldürüldü
hope,umut
face,yüz
until,değin
lost,kayıp
police,polis
excuse,mazeret
turn,dönüş
business,işletme
case,dava
wants,istiyor
says,diyor
-true,-doğru
die,ölmek
heart,kalp
soon,yakında
each,her biri
worry,endişelenmek
later,Daha sonra
year,yıl
watch,kol saati
music,müzik
hand,el
having,sahip olmak
probably,muhtemelen
beautiful,Güzel
doctor,doktor
sit,oturmak
eat,yemek yemek
thinking,düşünme
young,genç
second,ikinci
working,çalışma
water,su
person,kişi
part,parça
kids,çocuklar
late,geç
stuff,şey
exactly,Kesinlikle
under,altında
death,ölüm
minute,dakika
pay,ödemek
crazy,deli
forget,unutmak
everybody,herkes
kid,çocuk
change,değiştirmek
gave,verilmiş
happen,olmak
damn,lanet etmek
five,beş
drink,içmek
far,uzak
knows,biliyor
its,onun
whatever,Her neyse
eyes,gözler
shut,kapat
aren,değil mi
hit,vurmak
taking,almak
easy,kolay
times,kez
check,kontrol etmek
hands,eller
minutes,dakika
deal,anlaşmak
different,farklı
means,araç
point,nokta
inside,içeri
makes,yapar
asked,sordu
somebody,birisi
mine,bana ait
making,yapma
body,vücut
afraid,korkmuş
sleep,uyumak
chance,şans
dear,Sayın
quite,epeyce
four,dört
anyway,Neyse
close,kapalı
ain,değil
party,parti
fun,eğlence
against,aykırı
word,kelime
comes,geliyor
important,önemli
set,ayarlamak
shall,olacak
story,hikaye
number,sayı
daughter,kız çocuğu
least,en az
waiting,beklemek
hurt,acıtmak
wish,dilek
moment,an
fight,kavga
week,hafta
husband,koca
girls,kızlar
rest,dinlenmek
married,evli
fire,ateş
game,oyun
nobody,hiç kimse
mr,bay
children,çocuklar
side,taraf
stand,durmak
read,Okumak
though,Yine de
cut,kesmek
started,başladı
sister,kız kardeş
supposed,sözde
between,arasında
child,çocuk
goes,gitmek
hours,saat
speak,konuşmak
women,kadınlar
behind,arka
almost,neredeyse
truth,gerçek
blood,kan
able,hünerli
lady,bayan
anymore,artık değil
playing,oynuyor
gets,alır
shot,atış
reason,sebep
trouble,bela
break,kırmak
war,savaş
city,şehir
walk,yürümek
town,şehir
trust,güven
dr.,Dr.
met,tanıştım
office,ofis
question,soru
brought,getirilmiş
yours,senin
welcome,Hoş geldin
high,yüksek
wow,Vay
couple,çift
half,yarım
died,ölü
cool,Serin
free,özgür
either,herhangi biri
seems,öyle gibi
power,güç
whoa,vay be
bye,güle güle
buy,satın almak
telling,anlatıyor
honey,Bal
tried,sınanmış
front,ön
team,takım
answer,cevap
gun,silah
boys,erkek çocuklar
line,astar
send,Göndermek
news,haberler
stupid,aptal
bed,yatak
hurry,acele etmek
full,tam dolu
months,aylar
save,kaydetmek
sometimes,Bazen
become,haline gelmek
along,birlikte
hate,nefret
food,yiyecek
outside,dıştan
light,ışık
l,ben
needs,ihtiyaçlar
dog,köpek
country,ülke
clear,temizlemek
order,emir
em,onları
fact,hakikat
lord,efendim
captain,kaptan
six,altı
hot,sıcak
funny,eğlenceli
black,siyah
mrs.,bayan.
alive,canlı
pick,seçmek
feeling,his
living,yaşamak
cause,neden
ahead,ilerde
lose,kaybetmek
king,kral
plan,planı
dinner,akşam yemeği
sighs,iç çeker
sort,düzenlemek
leaving,ayrılmak
shouldn,yapmalı
running,koşma
boss,patron
alright,Tamam
promise,söz
taken,alınmış
safe,güvenli
ma,anne
book,kitap
sent,gönderilmiş
white,beyaz
hour,saat
anybody,herhangi biri
small,küçük
perfect,mükemmel
cause,neden
lives,yaşıyor
special,özel
parents,ebeveynler
s,S
john,John
himself,kendisi
perhaps,belki
sounds,sesler
serious,cidden
sick,hasta
company,şirket
ha,Ha
scared,korkmuş
uncle,amca
poor,fakir
red,kırmızı
past,geçmiş
earth,toprak
possible,olası
shoot,film çekmek
touch,dokunmak
sound,ses
top,tepe
ass,eşek
laughs,gülüyor
cannot,yapamamak
asking,soruyorum
win,kazanç
glad,memnun
control,kontrol
hmm,Hmm
human,insan
drive,sürmek
hair,saç
jack,kriko
bitch,orospu
luck,şans
murder,cinayet
happens,olur
air,hava
ten,on
daddy,babacığım
finally,Sonunda
chuckles,kıkırdamalar
fast,hızlı
cold,soğuk
seem,gözükmek
laughing,gülüyor
words,kelimeler
hospital,hastane
street,sokak
hang,asmak
dance,dans
meeting,toplantı
till,kadar
others,diğerleri
catch,yakalamak
follow,takip etmek
sense,algı
sex,seks
lie,yalan
evening,akşam
master,usta
known,bilinen
dream,rüya
write,yazmak
million,milyon
voice,ses
sweet,tatlı
rather,yerine
felt,keçe
sign,imza
lucky,şanslı
somewhere,bir yerde
bet,bahis
o,O
jesus,İsa
longer,daha uzun
calling,aramak
worked,çalıştı
quiet,sessizlik
looked,baktım
less,az
pull,çekmek
beat,vurmak
careful,dikkatli olmak
coffee,Kahve
return,geri dönmek
secret,gizli
weeks,haftalar
weren,değildi
date,tarih
seeing,görmek
fall,düşmek
given,verildi
ooh,ah
fault,arıza
straight,dümdüz
takes,almak
song,şarkı
future,gelecek
gentlemen,beyler
loved,sevilen
changed,değişti
road,yol
calm,sakinlik
wonderful,müthiş
mad,kızgın
turned,döndü
drop,düşürmek
ladies,bayanlar
learn,öğrenmek
step,adım
absolutely,kesinlikle
early,erken
explain,açıklamak
clean,temiz
piece,parça
yesterday,Dün
throw,fırlatmak
picture,resim
land,kara
feet,ayak
wonder,merak etmek
questions,sorular
speaking,konuşuyorum
worth,değer
darling,Canım
dude,dostum
giving,vermek
president,başkan
eye,göz
quick,hızlı
moving,hareketli
figure,figür
state,durum
strong,güçlü
sam,Sam
none,hiçbiri
amazing,inanılmaz
ones,olanlar
works,çalışır
act,davranmak
needed,gerekli
weird,garip
law,kanun
worried,endişeli
report,rapor
goodbye,Güle güle
missing,eksik
choice,seçenek
happening,oluyor
chief,şef
wedding,düğün
strange,garip
general,genel
pain,ağrı
am,ben
kidding,şaka yapmak
decided,karar verilmiş
ya,evet
pass,geçmek
tired,yorgun
class,sınıf
officer,memur
kept,tutulmuş
wake,uyanmak
worse,daha kötüsü
busy,Meşgul
eh,eh
mistake,hata
kiss,öpücük
court,mahkeme
building,bina
finish,sona ermek
during,sırasında
age,yaş
ship,gemi
caught,yakalanmış
marry,evlenmek
meant,anlamına gelen
sell,satmak
dark,karanlık
watching,izliyor
system,sistem
suppose,sanmak
evidence,kanıt
movie,film
ride,sürmek
t,T
completely,tamamen
mouth,ağız
totally,tamamen
birthday,doğum günü
tv,TV
forgive,affetmek
born,doğmak
imagine,hayal etmek
information,bilgi
instead,yerine
definitely,kesinlikle
security,güvenlik
certainly,kesinlikle
film,film
month,ay
lying,uzanmak
unless,meğer ki
train,tren
seven,Yedi
wear,giymek
clothes,kıyafetler
michael,Michael
hotel,otel
christmas,noel
attack,saldırı
hasn,hasan
round,yuvarlak
expect,beklemek
sing,şarkı söylemek
terrible,korkunç
george,George
bag,çanta
history,tarih
blue,mavi
near,yakın
broke,parasız
station,istasyon
seriously,Cidden
forever,sonsuza kadar
david,David
frank,açık sözlü
except,hariç
thinks,düşünüyor
message,mesaj
entire,bütün
joe,Joe
table,masa
talked,konuştu
across,karşısında
rock,kaynak
lovely,sevimli
handle,halletmek
middle,orta
buddy,ahbap
paid,paralı
protect,korumak
using,kullanarak
floor,zemin
ran,koştu
swear,küfür
spend,harcamak
situation,durum
ring,yüzük
anywhere,herhangi bir yer
dangerous,tehlikeli
bill,fatura
york,york
army,ordu
lead,yol göstermek
bought,satın alınmış
finished,bitti
fair,adil
sun,güneş
letter,mektup
fool,aptal
attention,dikkat
club,kulüp
simple,basit
interesting,ilginç
space,uzay
test,test
box,kutu
group,grup
single,Bekar
sitting,oturma
marriage,evlilik
join,katılmak
fear,korku
d,D
peace,barış
forgot,unutmuş olmak
force,güç
short,kısa
normal,normal
charlie,Charlie
present,Sunmak
enjoy,Eğlence
mike,mikrofon
crime,suç
horse,atış
ground,zemin
american,Amerikan
count,saymak
area,alan
charge,şarj
honor,onur
lunch,öğle yemeği
miles,mil
radio,radyo
idiot,salak
ball,top
surprise,sürpriz
paper,kağıt
key,anahtar
boat,bot
quickly,hızlıca
gold,altın
bar,çubuk
fish,balık
mark,işaret
tom,tom
wearing,Giyiyor
crying,ağlamak
accident,kaza
government,devlet
eight,sekiz
fell,düşmüş
cover,kapak
certain,kesin
interested,ilgili
deep,derin
star,yıldız
sea,deniz
agree,kabul etmek
problems,sorunlar
detective,dedektif
prison,hapishane
major,ana
stick,sopa
offer,teklif
difficult,zor
smart,akıllı
personal,kişisel
record,kayıt
stopped,durduruldu
hide,saklamak
whether,ikisinden biri
bank,banka
trip,seyahat
relax,rahatlamak
america,Amerika
public,halk
list,liste
afternoon,öğleden sonra
brain,beyin
fix,düzeltmek
bastard,piç
proud,gurur duymak
tea,çay
service,hizmet
screaming,çığlık
forward,ileri
angry,sinirli
park,park
soul,ruh
fighting,kavga
peter,Peter
rich,zengin
agent,ajan
blow,üflemek
paul,Paul
dress,elbise
mary,Mary
missed,kaçırıldı
scene,sahne
killing,öldürme
standing,ayakta
saved,kaydedildi
mm,mm
respect,Saygı
killer,katil
ice,buz
mess,karışıklık
tough,zorlu
feels,hissediyor
church,kilise
sad,üzgün
cell,hücre
drunk,sarhoş
share,paylaşmak
camera,kamera
mm-hmm,mm-hmm
within,içinde
card,kart
fly,uçmak
ben,ben
girlfriend,kız arkadaş
laugh,gülmek
smell,koku
broken,kırık
mum,anne
honest,dürüst
often,sıklıkla
starting,başlangıç
calls,çağrılar
y,sen
spent,Harcanan
third,üçüncü
english,İngilizce
visit,ziyaret etmek
mama,anne
judge,yargıç
window,pencere
hungry,aç
dare,cesaret
relationship,ilişki
moved,etkilenmiş
prove,kanıtlamak
private,özel
wall,duvar
seat,koltuk
i-i,ben-ben
position,konum
lieutenant,teğmen
realize,fark etmek
lt,lt
especially,özellikle
machine,makine
walking,yürüme
art,sanat
pleasure,zevk
bloody,kanlı
college,üniversite
french,Fransızca
involved,dahil olmuş
cry,ağlamak
became,oldu
lived,yaşadı
impossible,imkansız
obviously,açıkça
neither,hiç biri
accept,kabul etmek
boyfriend,erkek arkadaş
besides,Ayrıca
queen,kraliçe
teacher,Öğretmen
cops,polisler
sake,hatır
loves,seviyor
carry,taşımak
teach,öğretmek
apartment,daire
upset,üzgün
green,yeşil
la,la
liked,beğenildi
cute,Sevimli
evil,fenalık
professor,profesör
contact,temas etmek
joke,şaka
cop,polis
huge,büyük
holy,kutsal
store,mağaza
jail,hapishane
likes,beğeniler
lawyer,avukat
doubt,şüphe
continue,devam etmek
appreciate,takdirle karşılamak
cat,kedi
shop,mağaza
driving,araba kullanmak
congratulations,Tebrikler
wrote,yazdı
village,köy
quit,çıkış yapmak
field,alan
james,James
wine,şarap
decision,karar
south,güney
sleeping,uyku
slow,yavaş
laughter,kahkaha
island,ada
glass,bardak
beginning,başlangıç
cash,peşin
dying,ölme
hundred,yüz
whose,kimin
difference,fark
plane,uçak
push,itmek
continues,devam ediyor
mmm,mmm
singing,şarkı söylemek
eating,yemek yiyor
north,kuzey
mrs,bayan
tree,ağaç
madam,hanımefendi
gift,hediye
truck,kamyon
putting,koyarak
bear,ayı
board,pano
grab,yakalamak
beer,bira
stuck,sıkışmak
magic,büyü
support,Destek
rules,tüzük
grunts,homurdanıyor
partner,ortak
reach,ulaşmak
wind,rüzgâr
colonel,albay
max,maksimum
immediately,hemen
seconds,saniye
thousand,bin
gives,verir
experience,deneyim
cheers,şerefe
victim,kurban
upon,üzerine
computer,bilgisayar
christ,İsa
planet,gezegen
promised,söz verdim
bus,otobüs
henry,Henry
dirty,kirli
search,aramak
staying,Kalmak
dreams,rüyalar
arrest,tutuklamak
holding,tutma
suddenly,Birden
usually,genellikle
lots,sürü
shoes,ayakkabı
er,yani
jump,zıplamak
rid,kurtulmak
yo,sen
knock,kapıyı çalmak
owe,sahip olmak
harry,harry
grow,büyümek
worst,en kötüsü
river,nehir
aunt,hala
patient,hasta
kitchen,mutfak
aah,ah
fat,yağ
passed,geçti
m,M
final,son
summer,yaz
bob,bob
listening,dinleme
escape,kaçmak
everywhere,her yer
moon,ay
arms,silahlar
turns,dönüşler
address,adres
ow,ah
match,kibrit
gasps,nefes nefese
grand,büyük
yep,Evet
shh,şşş
nervous,gergin
de,de
choose,seçmek
themselves,kendileri
decide,karar vermek
mate,mat
drinking,içme
press,basmak
bother,rahatsız etmek
foot,ayak
hadn,hadım
blame,suçlamak
crap,saçmalık
drugs,uyuşturucu
type,tip
rings,yüzükler
mission,misyon
named,adlandırılmış
heaven,cennet
ii,ii
picked,seçilmiş
paris,Paris
race,ırk
risk,risk
books,kitaplar
further,daha öte
danny,danny
action,aksiyon
allowed,izin verilmiş
orders,siparişler
learned,öğrenildi
price,fiyat
arrived,ulaşmış
nick,Nick
otherwise,aksi takdirde
pictures,resimler
fit,yerleştirmek
smoke,duman
favor,iyilik
played,oynandı
notice,fark etme
awesome,Mükemmel
smile,gülümsemek
director,müdür
guard,koruma
begin,başlamak
spot,leke
surprised,şaşırmış
innocent,masum
narrator,anlatıcı
herself,kendini
london,Londra
feelings,duygular
enemy,düşman
battle,savaş
ourselves,kendimizi
alex,alex
dollars,dolar
allow,izin vermek
nine,dokuz
gay,eşcinsel
department,departman
guilty,suçlu
apart,ayrı
earlier,daha erken
duty,görev
jim,Jim
suit,uygun olmak
bell,zil
west,batı
legs,bacaklar
hero,kahraman
destroy,tahrip etmek
stage,sahne
bunch,demet
according,binaen
chicken,tavuk
bigger,daha büyük
grunting,homurdanma
low,Düşük
helping,yardım etmek
admit,itiraf etmek
closed,kapalı
names,isimler
witness,tanık
upstairs,üst katta
arm,kol
steal,hırsızlık yapmak
jimmy,Jimmy
kick,tekme atmak
twice,iki kere
cross,geçmek
ways,yollar
sergeant,çavuş
indeed,Aslında
gas,gaz
keeping,tutmak
energy,enerji
pregnant,hamile
waste,atık
helped,yardım etti
fired,kovuldu
favorite,favori
tony,Tony
taste,tatmak
locked,kilitli
places,yer
writing,yazma
adam,Adem
brothers,kardeşler
starts,başlar
prince,prens
form,biçim
sold,satılmış
silly,şapşal
mention,değinmek
build,inşa etmek
throat,boğaz
hole,delik
figured,düşündüm
track,izlemek
ringing,zil
lock,kilit
leg,bacak
above,üstünde
hiding,saklanmak
steve,Steve
seemed,görünüyordu
breakfast,kahvaltı
engine,motor
written,yazılı
complete,tamamlamak
video,video
applause,alkış
however,Yine de
pressure,basınç
fresh,taze
weapon,silah
sky,gökyüzü
ms.,Bayan.
stole,çaldı
study,çalışmak
burn,yakmak
reading,okuma
crowd,kalabalık
treat,davranmak
roll,rulo
double,çift
spirit,ruh
danger,tehlike
cost,maliyet
empty,boş
level,seviye
memory,hafıza
itself,kendisi
acting,oyunculuk
interest,faiz
nose,burun
plans,planlar
following,takip etme
bathroom,banyo
built,inşa edilmiş
closer,daha yakın
ray,ışın
sarah,Sarah
band,bant
groans,inliyor
apparently,görünüşe göre
excited,heyecanlı
richard,Richard
losing,kaybetmek
animals,hayvanlar
flight,uçuş
nature,doğa
raise,artırmak
pop,pop
client,müşteri
bomb,bomba
neck,boyun
suspect,şüphelenmek
warm,ılık
extra,ekstra
bottle,şişe
van,kamyonet
heavy,ağır
mommy,anne
dogs,köpekler
wild,vahşi
ridiculous,saçma
simply,basitçe
lee,Lee
animal,hayvan
showed,gösterdi
billy,Billy
shooting,çekim
keeps,tutar
camp,kamp
guns,silahlar
medical,tıbbi
shame,utanç
hoping,umut etmek
whom,kime
bird,kuş
majesty,majesteleri
flowers,çiçekler
famous,ünlü
asleep,uyuya kalmak
beauty,güzellik
driver,sürücü
keys,anahtarlar
rain,yağmur
awful,berbat
large,büyük
local,yerel
deserve,hak etmek
goddamn,kahretsin
stone,taş
jane,Jane
grace,lütuf
consider,dikkate almak
weekend,hafta sonu
wondering,merak ediyorum
lay,sermek
plenty,bolca
willing,hevesli
pants,pantolon
sweetheart,Tatlım
skin,deri
excellent,harika
asshole,Pislik
beach,sahil
c,C
faith,inanç
beg,yalvarmak
fuckin,lanet
responsible,sorumlu
military,askeri
cheering,tezahürat
opportunity,fırsat
common,yaygın
bottom,alt
german,Almanca
whoever,kim olursa olsun
cook,aşçı
walked,yürüdü
papers,evraklar
justice,adalet
hall,salon
commander,komutan
drug,ilaç
main,ana
knife,bıçak
devil,şeytan
necessary,gerekli
although,rağmen
princess,prenses
lights,ışıklar
flying,uçan
dick,çük
rose,gül
knowing,bilmek
clearly,açıkça
hat,şapka
agreed,anlaştık
johnny,Johnny
corner,köşe
code,kod
note,Not
tommy,Tommy
due,vadesi dolmuş
correct,doğru
apologize,özür dilemek
language,dil
stars,yıldızlar
faster,Daha hızlı
cars,arabalar
folks,millet
bullshit,saçmalık
i.,Ben.
fellow,aynı tür
several,birçok
grandma,büyükanne
shows,gösteriler
leader,lider
leaves,yapraklar
restaurant,restoran
east,doğu
shouting,bağırmak
blind,kör
ghost,hayalet
cup,bardak
gotten,elde edildi
tight,sıkı
conversation,konuşma
tells,söyler
lies,yalanlar
nor,ne de
pulled,çekti
hanging,asılı
speed,hız
stories,hikayeler
health,sağlık
advice,tavsiye
held,tutulmuş
uh-huh,ah-ha
murdered,öldürülmüş
beyond,öte
rule,kural
hardly,zorlu
possibly,muhtemelen
inspector,müfettiş
cousin,kuzen
trial,duruşma
emergency,acil durum
ought,yapmalı
eddie,Eddie
somehow,bir şekilde
hearing,işitme
states,eyaletler
account,hesap
spoke,konuştu
file,dosya
understood,anlaşıldı
angel,melek
tape,kaset
milk,süt
powerful,güçlü
weapons,silahlar
practice,pratik
manager,müdür
pardon,bağışlamak
vote,oy
jake,Jake
national,ulusal
career,kariyer
minister,bakan
super,süper
taught,öğretilen
robert,Robert
biggest,en büyük
plays,oynar
natural,doğal
dancing,dans
copy,kopyala
plus,artı
martin,martin
cake,kek
freedom,özgürlük
among,arasında
breath,nefes
operation,operasyon
chris,Chris
crew,mürettebat
challenge,meydan okumak
market,pazar
meat,et
towards,karşı
bringing,getirmek
dropped,düştü
student,öğrenci
lied,yalan söyledi
strength,kuvvet
size,boyut
breathe,nefes almak
color,renk
monster,canavar
loud,yüksek sesle
photo,fotoğraf
aw,ah
nearly,neredeyse
sight,görünüş
greatest,en büyük
games,oyunlar
bridge,köprü
dressed,giyinmiş
arrested,tutuklanmış
horrible,berbat
coach,koç
planning,planlama
checked,kontrol edildi
breaking,kırma
noticed,algılanan
fantastic,fantastik
screams,çığlıklar
serve,sert
ideas,fikirler
investigation,soruşturma
center,merkez
older,daha yaşlı
pack,ambalaj
soldiers,askerler
nonsense,anlamsız
doc,doktor
project,proje
training,eğitim
example,örnek
trick,kandırmak
prepared,tedarikli
science,bilim
united,birleşik
travel,seyahat
incredible,inanılmaz
grandpa,büyükbaba
paying,ödeme
character,karakter
teeth,dişler
criminal,suçlu
charles,Charles
chinese,Çince
truly,tamamen
honestly,Açıkçası
bro,kardeş
survive,hayatta kalmak
bobby,Bobby
target,hedef
feed,beslemek
nurse,hemşire
e,e
fake,sahte
records,kayıtlar
breathing,nefes almak
sweetie,Tatlım
numbers,sayılar
oil,yağ
suicide,intihar
belong,ait olmak
whoo,vay
perfectly,kusursuzca
amy,Amy
forgotten,unutulmuş
remain,geriye kalmak
original,orijinal
papa,baba
onto,üzerine
concerned,endişeli
credit,kredi
ugh,ah
invited,davet edildi
discuss,tartışmak
research,araştırma
easier,Daha kolay
view,görüş
chair,sandalye
hurts,acıtmak
strike,çarpmak
roger,Roger
fill,doldurmak
condition,durum
mountain,dağ
dr,doktor
nowhere,hiçbir yerde
sheriff,şerif
kim,kim
turning,dönüm
brown,kahverengi
recognize,tanımak
heads,kafalar
audience,kitle
all,Tümü
jealous,kıskanç
pretend,numara yapmak
society,toplum
finding,bulma
shirt,gömlek
comfortable,rahat
meaning,Anlam
guest,misafir
pieces,parçalar
dry,kuru
letting,izin vermek
began,başlamak
aye,evet
jeff,jeff
female,dişi
release,serbest bırakmak
ho,merhaba
cards,kartlar
pray,dua etmek
unfortunately,Ne yazık ki
balls,toplar
destroyed,yok edildi
ended,sona erdi
universe,evren
prepare,hazırlanmak
opinion,fikir
movies,filmler
soldier,asker
wash,yıkamak
program,programı
heat,sıcaklık
usual,olağan
ticket,bilet
stolen,çalıntı
prefer,tercih etmek
aware,farkında olmak
surely,kesinlikle
male,erkek
base,temel
matters,önemli
lift,kaldırmak
lab,laboratuvar
command,emretmek
proof,kanıt
cream,krem
selling,satış
believed,inanıldı
create,yaratmak
h,H
afford,parası yetmek
sunday,Pazar
total,toplam
dumb,sersem
threw,attı
france,Fransa
birth,doğum
created,yaratıldı
realized,gerçekleştirilmiş
british,İngiliz
noise,gürültü
nuts,fındık
students,öğrenciler
birds,kuşlar
social,sosyal
brilliant,muhteşem
bodies,bedenler
tie,bağlamak
opened,açıldı
ours,bizim
bucks,dolar
kevin,kevin
mister,bayım
ugly,çirkin
ryan,ryan
focus,odak
dan,dan
opens,açılır
exist,var olmak
followed,takip edildi
england,İngiltere
draw,çizmek
purpose,amaç
letters,edebiyat
daniel,Daniel
opening,açılış
bullet,kurşun
anna,Anna
lately,son zamanlarda
stayed,kaldı
falling,Düşmek
season,mevsim
ends,biter
suggest,tavsiye etmek
joy,neşe
distance,mesafe
responsibility,sorumluluk
whenever,her ne zaman
issue,sorun
thousands,binlerce
process,işlem
sword,kılıç
shower,duş
weak,zayıf
fucked,sikildi
lonely,yalnız
happiness,mutluluk
eric,Eric
tiny,minik
desk,çalışma masası
pool,havuz
property,mülk
forced,zoraki
settle,yerleşmek
indistinct,belirsiz
weight,ağırlık
received,kabul edilmiş
gang,çete
bite,ısırmak
friday,cuma
disappeared,ortadan kayboldu
interview,röportaj
expecting,beklemek
kinda,gibi
surgery,ameliyat
horses,atlar
mayor,belediye başkanı
babe,bebeğim
ancient,antik
handsome,Yakışıklı
thomas,Thomas
saturday,Cumartesi
staff,kadro
lines,çizgiler
unit,birim
fan,fan
gentleman,beyefendi
introduce,tanıtmak
fate,kader
split,bölmek
recently,son zamanlarda
expected,beklenen
add,eklemek
ordered,sipariş edildi
slowly,yavaşça
alarm,alarm
member,üye
slept,uyudum
signed,imzalanmış
enter,girmek
spanish,İspanyol
garden,bahçe
brings,getiriyor
brave,cesur
pig,domuz
model,modeli
finger,parmak
medicine,ilaç
access,erişim
failed,arızalı
flat,düz
easily,kolayca
discovered,keşfedildi
based,temelli
screw,vida
insane,inanılmaz
cares,umurunda
weather,hava durumu
fingers,parmaklar
san,san
scott,Scott
path,yol
soft,yumuşak
harm,zarar
style,stil
community,toplum
sees,görür
basically,temel olarak
al,al
signal,sinyal
nope,Hayır
spare,kıyamamak
speech,konuşma
covered,kapalı
shake,sallamak
loose,gevşetmek
snow,kar
russian,Rusça
lake,göl
bright,parlak
roof,çatı
ohh,Aah
sending,gönderme
paint,boyamak
remind,hatırlatmak
pal,dostum
naked,çıplak
post,postalamak
sugar,şeker
heading,başlık
streets,sokaklar
damage,zarar
silence,sessizlik
doors,kapılar
pete,pete
